meeting_number,meeting_year,meeting_month,publication_date,decision,url
237,2021,3,2021-03-01,"Copom eleva a taxa Selic para 2,75% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17341
238,2021,5,2021-05-01,"Copom eleva a taxa Selic para 3,50% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17388
239,2021,6,2021-06-01,"Copom eleva a taxa Selic para 4,25% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17422
240,2021,8,2021-08-01,"Copom eleva a taxa Selic para 5,25% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17461
241,2021,9,2021-09-01,"Copom eleva a taxa Selic para 6,25% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17510
242,2021,10,2021-10-01,"Copom eleva a taxa Selic para 7,75% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17545
243,2021,12,2021-12-01,"Copom eleva a taxa Selic para 9,25% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17585
244,2022,2,2022-02-01,"Copom eleva a taxa Selic para 10,75% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17614
245,2022,3,2022-03-01,"Copom eleva a taxa Selic para 11,75% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17637
246,2022,5,2022-05-01,"Copom eleva a taxa Selic para 12,75% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17663
247,2022,6,2022-06-01,"Copom eleva a taxa Selic para 13,25% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17683
248,2022,8,2022-08-01,"Copom eleva a taxa Selic para 13,75% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17704
249,2022,9,2022-09-01,"Copom mantém a taxa Selic em 13,75% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17731
250,2022,10,2022-10-01,"Copom mantém a taxa Selic em 13,75% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17753
251,2022,12,2022-12-01,"Copom mantém a taxa Selic em 13,75% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17794
252,2023,2,2023-02-01,"Copom mantém a taxa Selic em 13,75% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17825
253,2023,3,2023-03-01,"Copom mantém a taxa Selic em 13,75% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17857
254,2023,5,2023-05-01,"Copom mantém a taxa Selic em 13,75% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17886
255,2023,6,2023-06-01,"Copom mantém a taxa Selic em 13,75% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17920
256,2023,8,2023-08-01,"Copom reduz a taxa Selic para 13,25% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17942
257,2023,9,2023-09-01,"Copom reduz a taxa Selic para 12,75% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17981
258,2023,11,2023-11-01,"Copom reduz a taxa Selic para 12,25% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/18012
259,2023,12,2023-12-01,"Copom reduz a taxa Selic para 11,75% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/18047
260,2024,1,2024-01-01,"Copom reduz a taxa Selic para 11,25% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/18075
261,2024,3,2024-03-01,"Copom reduz a taxa Selic para 10,75% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/18114
262,2024,5,2024-05-01,"Copom reduz a taxa Selic para 10,50% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/18160
263,2024,6,2024-06-01,"Copom mantém a taxa Selic em 10,50% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/20178
264,2024,7,2024-07-01,"Copom mantém a taxa Selic em 10,50% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/20242
265,2024,9,2024-09-01,"Copom eleva a taxa Selic para 10,75% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/20325
266,2024,11,2024-11-01,"Copom eleva a taxa Selic para 11,25% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/20393
267,2024,12,2024-12-01,"Copom eleva a taxa Selic para 12,25% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/20457
268,2025,1,2025-01-01,"Copom eleva a taxa Selic para 13,25% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/20516
269,2025,3,2025-03-01,"Copom eleva a taxa Selic para 14,25% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/20581
270,2025,5,2025-05-01,"Copom eleva a taxa Selic para 14,75% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/20655
271,2025,6,2025-06-01,"Copom eleva a taxa Selic para 15,00% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/20733
272,2025,7,2025-07-01,"Copom mantém a taxa Selic em 15,00% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/20779
